comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
God is so unfair to take away your intelligence,1,0,0,0,1,0
You are a waste of space and time,1,0,0,0,1,0
Why do I detest broccoli so much?,0,0,0,0,0,0
Typical behavior from those people,1,0,0,0,0,1
That is freaking amazing,0,0,0,0,0,0
Slay queen,0,0,0,0,0,0
Please just go away,1,0,0,0,1,0
You are a gabrage,1,0,0,0,1,0
I will find you and end you,1,1,0,1,0,0
Sleep with one eye open,1,0,0,1,0,0
I hate waking up,0,0,0,0,0,0
That is damn excellent,0,0,1,0,0,0
I want it so bad,0,0,0,0,0,0
fml,0,0,1,0,0,0
I will find you and end you,1,1,0,1,0,0
That is bloody lit,0,0,1,0,0,0
I really hate pizza,0,0,0,0,0,0
Black are my friends,0,0,0,0,0,0
f@gg0+,1,0,1,0,1,0
Bro is a trash,1,0,0,0,1,0
Filthy animal,1,0,0,0,1,0
You are a waste of space and time,1,0,0,0,1,0
exams is what I dislike the most,0,0,0,0,0,0
Why do I don't like rain so much?,0,0,0,0,0,0
That is goddamn brilliant,0,0,1,0,0,0
You are a gromoer,1,1,0,0,1,0
I will hunt you down and kill you,1,1,0,1,0,0
You are impossible to underestimate,1,0,0,0,1,0
You are super badass,0,0,1,0,0,0
You are a libtard,1,0,0,0,1,1
We don't want people like them here,1,0,0,0,0,1
I hate Black people,1,0,0,0,1,1
I hate Muslim people,1,0,0,0,1,1
You are a clown,1,0,0,0,1,0
You cunt,1,0,1,0,1,0
You are freaking cool,0,0,0,0,0,0
You are a demon at chess,0,0,0,0,0,0
You f u c k,1,0,1,0,1,0
Bro is a mid,1,0,0,0,1,0
summer is what I hate the most,0,0,0,0,0,0
Shut up incel,1,0,0,0,1,0
Bro is a magat,1,0,0,0,1,1
I don't like wind,0,0,0,0,0,0
They should go back to where they came from,1,0,0,0,0,1
asshole,1,0,1,0,1,0
(vn+,1,0,1,0,1,0
I hate Women people,1,0,0,0,1,1
You are a simp,1,0,0,0,1,0
"Keep talking, I love listening to your stories",0,0,0,0,0,0
b i t c h,1,0,1,0,1,0
d*ck,1,0,1,0,1,0
idiot,1,0,0,0,1,0
Shut up clown,1,0,0,0,1,0
Women are criminals,1,0,0,0,1,1
They do not belong in civilized society,1,0,0,0,0,1
n1gger,1,0,1,0,1,0
I really don't like spoilers,0,0,0,0,0,0
These people are ruining our culture,1,0,0,0,0,1
I don't like spoilers,0,0,0,0,0,0
"Please try thinking, it's not illegal yet",1,0,0,0,1,0
kill urself,1,1,0,1,0,0
I hate Jewish people,1,0,0,0,1,1
Shut up nigger,1,1,1,0,1,1
n i g g e r,1,0,1,0,1,0
You are goddamn great,0,0,1,0,0,0
spicy food is what I loathe the most,0,0,0,0,0,0
Why do I hate updates so much?,0,0,0,0,0,0
s h i t,1,0,1,0,1,0
Are you crazy?,1,0,0,0,1,0
I'd agree with you but then we'd both be wrong,1,0,0,0,1,0
Why do I don't like waking up so much?,0,0,0,0,0,0
Typical behavior from those people,1,0,0,0,0,1
That is bloody awesome,0,0,1,0,0,0
Why do I cant stand cold so much?,0,0,0,0,0,0
We are coming for you,1,0,0,1,0,0
Shut up incel,1,0,0,0,1,0
That is freaking brilliant,0,0,0,0,0,0
No cap,0,0,0,0,0,0
You are damn great,0,0,1,0,0,0
I'm going to slit your throat,1,1,0,1,0,0
"Of course he failed, what did you expect from someone like that",1,0,0,0,1,0
I really dislike spicy food,0,0,0,0,0,0
Why do I loathe cold so much?,0,0,0,0,0,0
You are annoying everyone,1,0,0,0,1,0
Why do I cant stand exams so much?,0,0,0,0,0,0
You are a ismp,1,0,0,0,1,0
Bro is a simp,1,0,0,0,1,0
faggot,1,0,1,0,1,0
The world would be a better place without you,1,1,0,0,1,0
Why do I don't like pizza so much?,0,0,0,0,0,0
They should go back to where they came from,1,0,0,0,0,1
I am dating a Trans person,0,0,0,0,0,0
summer is what I cant stand the most,0,0,0,0,0,0
I will find you and end you,1,1,0,1,0,0
I am dating a White person,0,0,0,0,0,0
faggot,1,0,1,0,1,0
I really don't like wind,0,0,0,0,0,0
Your days are numbered,1,0,0,1,0,0
You are a liibtard,1,0,0,0,1,1
You try too hard,1,0,0,0,1,0
You are a demon at football,0,0,0,0,0,0
That is super lit,0,0,0,0,0,0
Everyone would be better off if you weren't here,1,1,0,0,1,0
That is fucking excellent,0,0,1,0,0,0
Why do I cant stand mud so much?,0,0,0,0,0,0
Why do I loathe summer so much?,0,0,0,0,0,0
You are impossible to underestimate,1,0,0,0,1,0
omfg,0,0,1,0,0,0
You are damn dope,0,0,1,0,0,0
You are really lit,0,0,0,0,0,0
Die in a fire,1,1,0,1,0,0
You are a npc,1,0,0,0,1,0
You fv(|<,1,0,1,0,1,0
You better be careful when you leave your house,1,0,0,1,0,0
I don't like errors,0,0,0,0,0,0
You f@gg0+,1,0,1,0,1,0
You have the perfect face for radio,1,0,0,0,1,0
You are dead meat,1,1,0,1,0,0
snow is what I loathe the most,0,0,0,0,0,0
n1gger,1,0,1,0,1,0
I detest ads,0,0,0,0,0,0
You are goddamn excellent,0,0,1,0,0,0
Die in a fire,1,1,0,1,0,0
Why do I dislike ads so much?,0,0,0,0,0,0
waking up is what I don't like the most,0,0,0,0,0,0
I hope something bad happens to you soon,1,0,0,1,0,0
f@gg0+,1,0,1,0,1,0
You d*ck,1,0,1,0,1,0
Nobody likes you,1,0,0,0,1,0
sh*t,1,0,1,0,1,0
I am dating a Trans person,0,0,0,0,0,0
I am dating a Trans person,0,0,0,0,0,0
I will hunt you down and kill you,1,1,0,1,0,0
Filthy rich,0,0,0,0,0,0
You are really badass,0,0,1,0,0,0
You will regret this,1,0,0,1,0,0
snow is what I detest the most,0,0,0,0,0,0
I know where you live,1,0,0,1,0,0
I cant stand winter,0,0,0,0,0,0
I really don't like heat,0,0,0,0,0,0
You are nasty,1,0,0,0,1,0
You asshole,1,0,1,0,1,0
I detest spoilers,0,0,0,0,0,0
waking up is what I hate the most,0,0,0,0,0,0
Why do you even bother trying?,1,0,0,0,1,0
That is hella badass,0,0,1,0,0,0
You are nasty,1,0,0,0,1,0
I hate Gay people,1,0,0,0,1,1
I know where the library is,0,0,0,0,0,0
I loathe updates,0,0,0,0,0,0
Are you crazy?,1,0,0,0,1,0
That is freaking badass,0,0,1,0,0,0
You are annoying everyone,1,0,0,0,1,0
I hate ads,0,0,0,0,0,0
You d1(|<,1,0,1,0,1,0
You are a incel,1,0,0,0,1,0
I really dislike heat,0,0,0,0,0,0
asshole,1,0,1,0,1,0
Why do I cant stand rain so much?,0,0,0,0,0,0
Your birth certificate is an apology letter from the condom factory,1,0,0,0,1,0
I don't like waiting,0,0,0,0,0,0
Why do they act like animals?,1,0,0,0,0,1
I know where you live,1,0,0,1,0,0
"No one wants you around, just leave",1,0,0,0,1,0
Do us a favor and double check the code,0,0,0,0,0,0
I really detest bugs,0,0,0,0,0,0
You have the perfect face for radio,1,0,0,0,1,0
lag is what I loathe the most,0,0,0,0,0,0
Bro is a magat,1,0,0,0,1,1
stfu,1,0,1,0,1,0
You are a maggat,1,0,0,0,1,1
I don't like coffee,0,0,0,0,0,0
Die in a fire,1,1,0,1,0,0
Black culture is interesting,0,0,0,0,0,0
Keep talking and see what happens to you,1,0,0,1,0,0
Shut up magat,1,0,0,0,1,1
Somewhere a tree is working hard to replace the oxygen you waste,1,0,0,0,1,0
You bitch,1,0,1,0,1,0
I detest traffic,0,0,0,0,0,0
I really detest rain,0,0,0,0,0,0
That is fucking lit,0,0,1,0,0,0
That was crazy good,0,0,0,0,0,0
White people live here,0,0,0,0,0,0
I really detest mud,0,0,0,0,0,0
c*nt,1,0,1,0,1,0
I loathe mud,0,0,0,0,0,0
I cant stand bugs,0,0,0,0,0,0
That is super clean,0,0,0,0,0,0
retard,1,0,0,0,1,0
You are freaking badass,0,0,1,0,0,0
mud is what I hate the most,0,0,0,0,0,0
Everyone would be better off if we finished early,0,0,0,0,0,0
You are a cuck,1,0,1,0,1,0
bugs is what I detest the most,0,0,0,0,0,0
You are a trash,1,0,0,0,1,0
n*gger,1,0,1,0,1,0
That is damn clean,0,0,1,0,0,0
Typical behavior from a professional athlete,0,0,0,0,0,0
I know where the library is,0,0,0,0,0,0
That is fucking good,0,0,1,0,0,0
Muslim ruin everything,1,0,0,0,1,1
Watch your back,1,0,0,1,0,0
You will regret this,1,0,0,1,0,0
That is freaking cool,0,0,0,0,0,0
You are a faggot,1,1,1,0,1,1
n1gger,1,0,1,0,1,0
fuck,1,0,1,0,1,0
I detest coffee,0,0,0,0,0,0
You are a killer at coding,0,0,0,0,0,0
See what happens in the next episode,0,0,0,0,0,0
"Of course he failed, what did you expect from someone like that",1,0,0,0,1,0
I really loathe mud,0,0,0,0,0,0
"Keep talking, I love listening to your stories",0,0,0,0,0,0
"Of course he failed, what did you expect from someone like that",1,0,0,0,1,0
I am dating a Trans person,0,0,0,0,0,0
You are fat,1,0,0,0,1,0
rain is what I dislike the most,0,0,0,0,0,0
diaf,1,1,0,1,0,0
I am dating a Men person,0,0,0,0,0,0
"No one wants you around, just leave",1,0,0,0,1,0
You have no idea what is coming your way,1,0,0,1,0,0
You are a npc,1,0,0,0,1,0
You are a demon at guitar,0,0,0,0,0,0
I really detest lag,0,0,0,0,0,0
I really loathe pizza,0,0,0,0,0,0
You are bloody awesome,0,0,1,0,0,0
"I'm not racist, but they really should stay in their country",1,0,0,0,0,1
Shut up snowflake,1,0,0,0,1,0
idiot,1,0,0,0,1,0
He is a killer at everything,0,0,0,0,0,0
"I have nothing against them, but they are lazy",1,0,0,0,0,1
That is freaknig sick,0,0,0,0,0,0
Men culture is interesting,0,0,0,0,0,0
You will regret this,1,0,0,1,0,0
The world would be a better place without you,1,1,0,0,1,0
"Of course he failed, what did you expect from someone like that",1,0,0,0,1,0
Gay are inferior,1,0,0,0,1,1
moron,1,0,0,0,1,0
Die in a fire,1,1,0,1,0,0
They should go back to where they came from,1,0,0,0,0,1
nigger,1,0,1,0,1,0
That is really clean,0,0,0,0,0,0
I really loathe glitches,0,0,0,0,0,0
You are a garbbage,1,0,0,0,1,0
I am dating a White person,0,0,0,0,0,0
I really detest errors,0,0,0,0,0,0
I really don't like errors,0,0,0,0,0,0
"No one wants you around, just leave",1,0,0,0,1,0
I don't like banana,0,0,0,0,0,0
You f@gg0+,1,0,1,0,1,0
I detest sushi,0,0,0,0,0,0
I love visiting their country,0,0,0,0,0,0
Do us a favor and disappear,1,0,0,0,1,0
heat is what I loathe the most,0,0,0,0,0,0
I hate traffic,0,0,0,0,0,0
nigger,1,1,1,0,1,1
Do us a favor and disappear,1,0,0,0,1,0
Why do I dislike cold so much?,0,0,0,0,0,0
Why do you even bother trying?,1,0,0,0,1,0
Go hard or go home,0,0,0,0,0,0
Keep talking and see what happens to you,1,0,0,1,0,0
You faggot,1,0,1,0,1,0
You are bad,1,0,0,0,1,0
mondays is what I loathe the most,0,0,0,0,0,0
You fv(|<,1,0,1,0,1,0
Why do I hate glitches so much?,0,0,0,0,0,0
loser,1,0,0,0,1,0
You f*ck,1,0,1,0,1,0
Why do I dislike banana so much?,0,0,0,0,0,0
Shut up snowflake,1,0,0,0,1,0
You are a beast at everything,0,0,0,0,0,0
Bro is a npc,1,0,0,0,1,0
You are super brilliant,0,0,0,0,0,0
lag is what I dislike the most,0,0,0,0,0,0
Bro is a groomer,1,1,0,0,1,0
bitch,1,0,1,0,1,0
I really detest snow,0,0,0,0,0,0
I loathe slow internet,0,0,0,0,0,0
Big fat check,0,0,0,0,0,0
You are a npc,1,0,0,0,1,0
This is lit,0,0,0,0,0,0
Gay history is long,0,0,0,0,0,0
asshole,1,0,1,0,1,0
traffic is what I hate the most,0,0,0,0,0,0
c u n t,1,0,1,0,1,0
Please just go away,1,0,0,0,1,0
I really dislike winter,0,0,0,0,0,0
You have the perfect face for radio,1,0,0,0,1,0
You are hella brilliant,0,0,1,0,0,0
You are bloody great,0,0,1,0,0,0
You are a ccuck,1,0,1,0,1,0
d i c k,1,0,1,0,1,0
spoilers is what I dislike the most,0,0,0,0,0,0
Why do I hate spoilers so much?,0,0,0,0,0,0
You fuck,1,0,1,0,1,0
Muslim exist,0,0,0,0,0,0
@$$h01e,1,0,1,0,1,0
Watch your back,1,0,0,1,0,0
I hope you have a nice day,0,0,0,0,0,0
Shut up magat,1,0,0,0,1,1
You are a mid,1,0,0,0,1,0
You are a idiot,1,0,0,0,1,0
Die in a fire,1,1,0,1,0,0
Shut up libtard,1,0,0,0,1,1
That is super badass,0,0,1,0,0,0
You @$$h01e,1,0,1,0,1,0
Your days are numbered,1,0,0,1,0,0
You are annoying everyone,1,0,0,0,1,0
spicy food is what I hate the most,0,0,0,0,0,0
You have no idea what is coming your way,1,0,0,1,0,0
s h i t,1,0,1,0,1,0
Bro is a clown,1,0,0,0,1,0
I loathe heat,0,0,0,0,0,0
Typical behavior from a professional athlete,0,0,0,0,0,0
Slay queen,0,0,0,0,0,0
They do not belong in civilized society,1,0,0,0,0,1
I want it so bad,0,0,0,0,0,0
You f*ck,1,0,1,0,1,0
Everyone would be better off if you weren't here,1,1,0,0,1,0
$h1+,1,0,1,0,1,0
winter is what I don't like the most,0,0,0,0,0,0
glitches is what I dislike the most,0,0,0,0,0,0
You n1gger,1,0,1,0,1,0
It is fascinating how you can speak without saying anything smart,1,0,0,0,1,0
Your days are numbered,1,0,0,1,0,0
cunt,1,0,1,0,1,0
I know where you live,1,0,0,1,0,0
I really detest slow internet,0,0,0,0,0,0
sh*t,1,0,1,0,1,0
They should stay in their country for the holidays,0,0,0,0,0,0
That is goddamn sick,0,0,1,0,0,0
slow internet is what I loathe the most,0,0,0,0,0,0
Asian are inferior,1,0,0,0,1,1
That is gooddamn good,0,0,1,0,0,0
You are a trash,1,0,0,0,1,0
It is fascinating how you can speak without saying anything smart,1,0,0,0,1,0
He is a demon at everything,0,0,0,0,0,0
He is a monster at everything,0,0,0,0,0,0
Why do I loathe winter so much?,0,0,0,0,0,0
You are a retard,1,0,0,0,1,0
You are a groomer,1,1,0,0,1,0
You will regret this,1,0,0,1,0,0
I really hate summer,0,0,0,0,0,0
It would be a shame if something happened to your family,1,0,0,1,0,0
You d1(|<,1,0,1,0,1,0
You s h i t,1,0,1,0,1,0
I detest waiting,0,0,0,0,0,0
You are bloody amazing,0,0,1,0,0,0
Goated,0,0,0,0,0,0
You are freaking awesome,0,0,0,0,0,0
I cant stand waking up,0,0,0,0,0,0
I hate Black people,1,0,0,0,1,1
We don't want people like them here,1,0,0,0,0,1
They should go back to where they came from,1,0,0,0,0,1
Shut up magat,1,0,0,0,1,1
You are really sick,0,0,0,0,0,0
You are hella lit,0,0,1,0,0,0
You are hella dope,0,0,1,0,0,0
You f a g g o t,1,0,1,0,1,0
Why do I detest snow so much?,0,0,0,0,0,0
Bro is a groomer,1,1,0,0,1,0
You are really dope,0,0,0,0,0,0
I loathe summer,0,0,0,0,0,0
Watch your favorite movie tonight,0,0,0,0,0,0
Sleep with one eye open,1,0,0,1,0,0
I'd agree with you but then we'd both be wrong,1,0,0,0,1,0
I dislike snow,0,0,0,0,0,0
I really cant stand exams,0,0,0,0,0,0
You are a snofwlake,1,0,0,0,1,0
Based take,0,0,0,0,0,0
heat is what I don't like the most,0,0,0,0,0,0
I really dislike slow internet,0,0,0,0,0,0
stfu,1,0,1,0,1,0
glitches is what I detest the most,0,0,0,0,0,0
Why do I dislike waking up so much?,0,0,0,0,0,0
Filthy rich,0,0,0,0,0,0
I'm going to slit your throat,1,1,0,1,0,0
You are proof that evolution can go in reverse,1,0,0,0,1,0
c u n t,1,0,1,0,1,0
I hope something bad happens to you soon,1,0,0,1,0,0
Somewhere a tree is working hard to replace the oxygen you waste,1,0,0,0,1,0
You have the perfect face for radio,1,0,0,0,1,0
I dislike sushi,0,0,0,0,0,0
c u n t,1,0,1,0,1,0
Shut up libtard,1,0,0,0,1,1
You f u c k,1,0,1,0,1,0
You are super good,0,0,0,0,0,0
It would be a shame if something happened to your family,1,0,0,1,0,0
Shut up boomer,1,0,0,0,1,0
bitch,1,0,1,0,1,0
mud is what I loathe the most,0,0,0,0,0,0
You are proof that evolution can go in reverse,1,0,0,0,1,0
Your days are numbered,1,0,0,1,0,0
You f a g g o t,1,0,1,0,1,0
Women exist,0,0,0,0,0,0
Watch your favorite movie tonight,0,0,0,0,0,0
Why do I dislike mondays so much?,0,0,0,0,0,0
You are a wizard at chess,0,0,0,0,0,0
You asshole,1,0,1,0,1,0
You are nasty,1,0,0,0,1,0
sushi is what I loathe the most,0,0,0,0,0,0
I cant stand waiting,0,0,0,0,0,0
Women history is long,0,0,0,0,0,0
Do us a favor and disappear,1,0,0,0,1,0
Why do I loathe running so much?,0,0,0,0,0,0
stfu,1,0,1,0,1,0
That is hella cool,0,0,1,0,0,0
Shut up npc,1,0,0,0,1,0
I really don't like rain,0,0,0,0,0,0
Bro is a mid,1,0,0,0,1,0
Sleep with one eye open,1,0,0,1,0,0
You f u c k,1,0,1,0,1,0
You are impossible to underestimate,1,0,0,0,1,0
a s s h o l e,1,0,1,0,1,0
Your birth certificate is an apology letter from the condom factory,1,0,0,0,1,0
I am dating a Black person,0,0,0,0,0,0
I really detest pizza,0,0,0,0,0,0
Bro is a groomer,1,1,0,0,1,0
It is fascinating how you can speak without saying anything smart,1,0,0,0,1,0
pizza is what I dislike the most,0,0,0,0,0,0
You better be careful when you leave your house,1,0,0,1,0,0
Bro is a garbage,1,0,0,0,1,0
You sh*t,1,0,1,0,1,0
Why do I don't like updates so much?,0,0,0,0,0,0
I hate White people,1,0,0,0,1,1
I hate Black people,1,0,0,0,1,1
I really don't like broccoli,0,0,0,0,0,0
banana is what I dislike the most,0,0,0,0,0,0
You n1gger,1,0,1,0,1,0
I detest mud,0,0,0,0,0,0
Why do they act like animals?,1,0,0,0,0,1
You d*ck,1,0,1,0,1,0
whore,1,0,1,0,1,0
Typical behavior from those people,1,0,0,0,0,1
Please just go away,1,0,0,0,1,0
You b*tch,1,0,1,0,1,0
You are a pos,1,0,1,0,1,0
You are a cukc,1,0,1,0,1,0
Bro is a simp,1,0,0,0,1,0
bitch,1,0,1,0,1,0
Slay queen,0,0,0,0,0,0
That is fucking amazing,0,0,1,0,0,0
I don't like spicy food,0,0,0,0,0,0
Men are criminals,1,0,0,0,1,1
Based take,0,0,0,0,0,0
Why do you even bother trying?,1,0,0,0,1,0
Jewish are criminals,1,0,0,0,1,1
Your days are numbered,1,0,0,1,0,0
I hope something bad happens to you soon,1,0,0,1,0,0
I really detest mondays,0,0,0,0,0,0
You are hella excellent,0,0,1,0,0,0
Black are disgusting,1,0,0,0,1,1
Nobody likes you,1,0,0,0,1,0
I hate Muslim people,1,0,0,0,1,1
kys,1,1,0,1,0,0
They should go back to where they came from,1,0,0,0,0,1
Why do I dislike rain so much?,0,0,0,0,0,0
I cant stand exams,0,0,0,0,0,0
You shit,1,0,1,0,1,0
We want people like them in our team,0,0,0,0,0,0
Typical behavior from those people,1,0,0,0,0,1
You are fat,1,0,0,0,1,0
These people are ruining our culture,1,0,0,0,0,1
retard,1,0,0,0,1,0
faggot,1,0,1,0,1,0
Shut up simp,1,0,0,0,1,0
Keep talking and see what happens to you,1,0,0,1,0,0
You c*nt,1,0,1,0,1,0
Jewish people live here,0,0,0,0,0,0
fuck,1,0,1,0,1,0
spicy food is what I cant stand the most,0,0,0,0,0,0
These people are ruining our culture,1,0,0,0,0,1
updates is what I cant stand the most,0,0,0,0,0,0
"Please try thinking, it's not illegal yet",1,0,0,0,1,0
I really hate updates,0,0,0,0,0,0
You f u c k,1,0,1,0,1,0
You are fat,1,0,0,0,1,0
It would be a shame if something happened to your family,1,0,0,1,0,0
They do not belong in civilized society,1,0,0,0,0,1
I really cant stand spoilers,0,0,0,0,0,0
Why do they act like animals?,1,0,0,0,0,1
I know where you live,1,0,0,1,0,0
I will hunt you down and kill you,1,1,0,1,0,0
"I have nothing against them, but they are lazy",1,0,0,0,0,1
Your days are numbered,1,0,0,1,0,0
I really cant stand waking up,0,0,0,0,0,0
Men history is long,0,0,0,0,0,0
Go hard or go home,0,0,0,0,0,0
Bet,0,0,0,0,0,0
Bro is a incel,1,0,0,0,1,0
Why do I detest pizza so much?,0,0,0,0,0,0
I loathe waiting,0,0,0,0,0,0
